[08:06:54] 🔧 Loading Remote Event/Function Tester with Floating UI...
[08:06:54] 📡 GitHub Deployment System
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FavoriteItem
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FavoriteStateChanged
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/UnequipToolFromHotbar
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/EquipToolFromHotbar
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/SellItem
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/SellAllItems
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PurchaseFishingRod
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PurchaseBait
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PurchaseGear
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/CancelPrompt
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/FeatureUnlocked
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ChangeSetting
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PurchaseBoat
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/SpawnBoat
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/DespawnBoat
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/BoatChanged
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/VerifyGroupReward
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/ConsumePotion
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/RedeemChristmasItems
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/EquipOxygenTank
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/UnequipOxygenTank
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/ClaimDailyLogin
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/RecievedDailyRewards
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ReconnectPlayer
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/CanSendTrade
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/InitiateTrade
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/AwaitTradeResponse
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/RedeemCode
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ReplicateCutscene
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/StopCutscene
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/LoadVFX
[08:06:56] 🔧 Found RemoteFunction: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RF/PromptFavoriteGame
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ClaimNotification
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/BlackoutScreen
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net/RE/ElevatorStateUpdated
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion/Remotes/Added
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion/Remotes/Removed
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion/Remotes/Update
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion/Remotes/UpdateReplicateTo
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion/Remotes/Set
[08:06:56] 📡 Found RemoteEvent: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion/Remotes/ArrayUpdate
[08:06:56] 📊 Remote scan complete. Found 82 remotes.
[08:06:56] [Remote Tester] Remote Scanner: Found 82 remotes!
[08:06:59] [Remote Tester] Remote Tester: 🔧 UI opened!
[07:21:57] [Module Analyzer] Module Analyzer: 📁 UI opened!
[07:22:02] 🔍 Scanning for ModuleScripts...
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/ModelProvider
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Potions
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Baits
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Areas
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Tiers
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Events
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Enchants
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Variants
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Items
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Boats
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/SkinCrates
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/CmdrClient
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/WeightRandom
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/TimeConfiguration
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/SystemMessage
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/GamePass
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/GamePassUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/GiftProducts
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/ChatTags
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/AuthorizedUserIds
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/ValidEventNames
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/PlayerStatsUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/RollData
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/ItemUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/XPUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Soundbook
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/PlayerEvents
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/PlayerTroves
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/CharacterUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/VFXUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Constants
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/EventUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/AreaUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/TierUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/DrawSeatUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/StringLibrary
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Leaderboards
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/FishingRodModifiers
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Effects
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Settings
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/BoatsHandlingData
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/VendorUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/BlockedHumanoidStates
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/FishWeightChances
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/ChristmasEventEndTime
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/SoldItemTypes
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/PolicyWrapper
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/UserPriority
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/RaycastUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Quests/Types
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Quests/QuestUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Quests/QuestList
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Products/CoinProducts
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Products/ItemProducts
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Products/ChristmasRewards
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Products/DoubleLuckProducts
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Products/CandyCaneProducts
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Passives/PassivesRunner
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Passives/PassivesUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Shared/Passives/PassivesTypes
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Fusion
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Loader
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Net
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Replion
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Signal
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Trove
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/FastCastRedux
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/spr
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/MarketplaceService
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Promise
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/NumberSpinner
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Thread
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/LightningBolt
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/MersenneTwister
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Icon
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/Observers
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/sleitnick_trove@1.4.0/trove
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/sleitnick_signal@2.0.1/signal
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/sleitnick_net@0.2.0/net
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/sleitnick_loader@2.0.0/loader
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/dphfox_fusion@0.0.2/fusion
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/Freeze
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/Signal
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/ytrev_replion@2.0.0-rc.3/replion
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/roblox_testez@0.4.1/testez
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/etithespirit_fastcastredux@13.2.1/fastcastredux
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/duckarmor_freeze@0.1.4/TestEZ
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/duckarmor_freeze@0.1.4/freeze
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/fraktality_spr@2.1.0/spr
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/talon_marketplaceservice@1.0.0/marketplaceservice
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/evaera_promise@4.0.0/promise
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Packages/_Index/sleitnick_observers@1.0.0/observers
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/PurchaseScreenBlackoutController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/ClientTimeController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/FishingController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/DailyLoginController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/ChatController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/LevelController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/HotbarController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/NotificationController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/VFXController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/AnimationController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/PotionController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/InventoryController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/RodShopController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/EventController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/HUDController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/SettingsController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/MasteryController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/PromptController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/CompassController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/BaitShopController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/TextNotificationController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/SpinController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/AreaController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/BoatShopController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/VendorController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/QuestController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/EnchantingController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/ElevatorController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/AutoFishingController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/FireflyController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/GroupRewardController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/PotionShopController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/AFKController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/DoubleLuckController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/CodeController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/SwimController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/TopBarController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/ItemTradingController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/WeatherMachineController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/StarterPackController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/LootboxController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Controllers/DialogueController
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Types/Modifiers
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Types/Fishing
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Types/Enchanting
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Types/Teleport
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/ClickSound
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/CurrencyCounter
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/MenuRing
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/MenuPrompt
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/AutomaticallyCloseButton
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/Propeller
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/Seat
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/VehicleSeat
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/GamePassPurchase
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/EnchantAltarAttachment
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/HUDButton
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/CoralLight
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/GamePassPrompt
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/Leaderboard
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/PerfectArea
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/BoostedRegion
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/ShopPurchasePrompt
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/DevProductPurchase
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/RenderTextEffect
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/GroupRewardDisplay
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/NotificationBubble
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/DevProductPrice
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/GamePassPrice
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/ChristmasColorStrobe
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/Island Location Tag
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/BagSize
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/ClientPassives
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/FloatingDrop
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Observers/Rainbow
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/GuiControl
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/ItemStringUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/Animations
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/CoreCall
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/FootstepSounds
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/NPC
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/RegisterButtonTooltip
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/CameraShaker
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/TweenAsync
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/CoinProductsUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/CurrencyUtility
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/InputControl
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Modules/Spring
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/AceworksUtils/Spring
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/AceworksUtils/TagEffect
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/AceworksUtils/Disk
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/AceworksUtils/Teardown
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/AceworksUtils/Instances
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Passives/VIP
[07:22:02] 📁 Found ModuleScript: ReplicatedStorage/Passives/Ghoul Rod
[07:22:02] 📊 ModuleScript scan complete:
[07:22:02]   • Total modules found: 187
[07:22:02] [Module Analyzer] Module Scanner: Found 187 ModuleScripts!
[07:22:08] 📁 Loading module: ReplicatedStorage/Controllers/AutoFishingController
[07:22:08] ✅ Module loaded successfully!
[07:22:08] [Module Analyzer] Success: ✅ AutoFishingController loaded!
